year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,ADM3_FR,ADM3_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Nyarugenge,RW5711,13326,12389,25715,1780,1886,1626,1181,1026,977,1134,937,725,579,480,354,234,224,101,49,33,1874,1862,1797,1211,1028,887,1010,785,537,426,305,234,179,134,71,33,16,3654,3748,3423,2392,2054,1864,2144,1722,1262,1005,785,588,413,358,172,82,49
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Rilima,RW5712,11806,11588,23394,1598,1559,1404,1206,1202,978,931,727,528,385,349,327,273,182,85,40,32,1651,1508,1419,1197,1080,930,961,705,533,343,291,317,311,200,89,33,20,3249,3067,2823,2403,2282,1908,1892,1432,1061,728,640,644,584,382,174,73,52
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Ruhuha,RW5713,14353,13581,27934,1831,1886,1722,1474,1269,1112,1242,988,748,524,386,383,333,240,121,57,37,1954,1913,1730,1452,1302,1150,1111,963,602,402,269,214,216,152,88,36,27,3785,3799,3452,2926,2571,2262,2353,1951,1350,926,655,597,549,392,209,93,64
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Rweru,RW5714,19906,19008,38914,2839,2720,2667,1987,1696,1451,1399,1298,1083,860,599,444,352,257,144,59,51,3053,2799,2756,2142,1772,1297,1174,1056,783,605,447,418,336,167,139,38,26,5892,5519,5423,4129,3468,2748,2573,2354,1866,1465,1046,862,688,424,283,97,77
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Shyara,RW5715,8516,8014,16530,1125,1123,980,734,686,651,805,722,437,328,245,231,194,136,62,30,27,1202,1162,979,743,589,659,706,636,386,273,188,148,154,104,48,24,13,2327,2285,1959,1477,1275,1310,1511,1358,823,601,433,379,348,240,110,54,40
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,Gasange,RW5301,7979,7547,15526,1008,1151,1111,796,623,482,520,579,521,307,231,177,126,153,114,48,32,992,1149,1129,843,592,465,425,518,423,292,218,186,111,79,76,27,22,2000,2300,2240,1639,1215,947,945,1097,944,599,449,363,237,232,190,75,54
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,Gatsibo,RW5302,30546,28672,59218,3655,4209,4146,3590,2499,2018,2011,2313,1656,1259,862,792,601,453,274,100,108,3669,4269,4340,3615,2275,1656,1630,1928,1471,1115,742,665,604,351,221,76,45,7324,8478,8486,7205,4774,3674,3641,4241,3127,2374,1604,1457,1205,804,495,176,153
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,Gitoki,RW5303,23330,21577,44907,3133,3209,3050,2341,1887,1607,1642,1769,1412,926,624,576,447,349,202,80,76,3100,3184,3008,2373,1826,1439,1453,1560,1134,750,500,450,325,244,132,65,34,6233,6393,6058,4714,3713,3046,3095,3329,2546,1676,1124,1026,772,593,334,145,110
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,Kabarore,RW5304,73762,73996,147758,10016,9723,10087,8006,6167,5032,5337,5621,4081,2807,1863,1563,1331,1076,571,248,233,9972,10079,10094,8251,7595,5522,5001,5270,3805,2465,1639,1453,1190,887,473,180,120,19988,19802,20181,16257,13762,10554,10338,10891,7886,5272,3502,3016,2521,1963,1044,428,353
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,Kageyo,RW5305,9877,9378,19255,1284,1330,1260,918,887,717,657,680,547,422,283,288,227,188,94,61,34,1249,1414,1248,995,795,619,571,677,514,382,243,232,189,138,67,27,18,2533,2744,2508,1913,1682,1336,1228,1357,1061,804,526,520,416,326,161,88,52
